Date,INVE-A.ST,INVE-B.ST
2022-02-10,201.3363037109375,188.5701141357422
2022-02-11,198.1700439453125,187.26832580566406
2022-02-14,192.6756591796875,181.28021240234375
2022-02-15,198.44943237304688,186.47799682617188
2022-02-16,199.6600341796875,186.33851623535156
2022-02-17,196.8662872314453,182.74935913085938
2022-02-18,194.7244415283203,180.62933349609375
2022-02-21,188.95066833496094,175.40370178222656
2022-02-22,191.74441528320312,179.88546752929688
2022-02-23,189.78878784179688,176.72406005859375
2022-02-24,187.74005126953125,174.36227416992188
2022-02-25,190.9994354248047,178.4535369873047
2022-02-28,196.58692932128906,180.48057556152344
2022-03-01,190.7200469970703,176.5752410888672
2022-03-02,193.2344207763672,179.0671844482422
2022-03-03,186.9019012451172,173.04190063476562
2022-03-04,182.05941772460938,169.15521240234375
2022-03-07,182.75784301757812,168.93203735351562
2022-03-08,182.61819458007812,169.78749084472656
2022-03-09,189.60255432128906,176.5566864013672
2022-03-10,188.0194091796875,175.5338592529297
2022-03-11,188.5781707763672,178.11878967285156
2022-03-14,192.6756591796875,182.50759887695312
2022-03-15,191.37191772460938,181.5591583251953
2022-03-16,199.93943786621094,189.6859130859375
2022-03-17,201.3363037109375,191.54554748535156
2022-03-18,204.59567260742188,194.52105712890625
2022-03-21,203.66441345214844,193.87014770507812
2022-03-22,205.71316528320312,194.52105712890625
2022-03-23,204.8750457763672,192.1964569091797
2022-03-24,201.80191040039062,188.8490447998047
2022-03-25,200.59129333496094,188.4771270751953
2022-03-28,203.01254272460938,191.40611267089844
2022-03-29,208.6931915283203,195.31141662597656
2022-03-30,208.1344451904297,193.87014770507812
2022-03-31,205.24754333496094,191.68504333496094
2022-04-01,208.6931915283203,194.6605224609375
2022-04-04,211.11441040039062,196.10174560546875
2022-04-05,210.55567932128906,195.54388427734375
2022-04-06,207.85504150390625,193.45175170898438
2022-04-07,209.99691772460938,194.6605224609375
2022-04-08,210.9281768798828,195.26492309570312
2022-04-11,207.7619171142578,192.75436401367188
2022-04-12,206.92379760742188,191.91749572753906
2022-04-13,208.5069122314453,193.54469299316406
2022-04-14,208.5069122314453,193.73068237304688
2022-04-15,208.5069122314453,193.73068237304688
2022-04-18,208.5069122314453,193.73068237304688
2022-04-19,209.15879821777344,193.6376953125
2022-04-20,210.9281768798828,194.47454833984375
2022-04-21,206.36505126953125,190.89468383789062
2022-04-22,198.1700439453125,184.10691833496094
2022-04-25,190.3475341796875,177.3563232421875
2022-04-26,187.74005126953125,174.67840576171875
2022-04-27,189.3231658935547,175.68263244628906
2022-04-28,189.2300567626953,174.9759521484375
2022-04-29,192.95504760742188,177.728271484375
2022-05-02,187.46066284179688,173.06048583984375
2022-05-03,183.7822265625,170.06643676757812
