Date,^FCHI,^GDAXI
2022-11-09,6430.56982421875,13666.3203125
2022-11-10,6556.830078125,14146.08984375
2022-11-11,6594.6201171875,14224.8603515625
2022-11-14,6609.169921875,14313.2998046875
2022-11-15,6641.66015625,14378.509765625
2022-11-16,6607.22021484375,14234.0302734375
2022-11-17,6576.1201171875,14266.3798828125
2022-11-18,6644.4599609375,14431.8603515625
2022-11-21,6634.4501953125,14379.9296875
2022-11-22,6657.52978515625,14422.349609375
2022-11-23,6679.08984375,14427.58984375
2022-11-24,6707.31982421875,14539.5595703125
2022-11-25,6712.47998046875,14541.3798828125
2022-11-28,6665.2001953125,14383.3603515625
2022-11-29,6668.97021484375,14355.4501953125
2022-11-30,6738.5498046875,14397.0400390625
2022-12-01,6753.97021484375,14490.2998046875
2022-12-02,6742.25,14529.3896484375
2022-12-05,6696.9599609375,14447.6103515625
2022-12-06,6687.7900390625,14343.1904296875
2022-12-07,6660.58984375,14261.1904296875
2022-12-08,6647.31005859375,14264.5595703125
2022-12-09,6677.64013671875,14370.7197265625
2022-12-12,6650.5498046875,14306.6298828125
2022-12-13,6744.97998046875,14497.8896484375
2022-12-14,6730.7900390625,14460.2001953125
2022-12-15,6522.77001953125,13986.23046875
2022-12-16,6452.6298828125,13893.0703125
2022-12-19,6473.2900390625,13942.8701171875
2022-12-20,6450.43017578125,13884.66015625
2022-12-21,6580.240234375,14097.8203125
2022-12-22,6517.97021484375,13914.0703125
2022-12-23,6504.89990234375,13940.9296875
2022-12-26,6504.89990234375,13940.9296875
2022-12-27,6550.66015625,13995.099609375
2022-12-28,6510.490234375,13925.599609375
2022-12-29,6573.47021484375,14071.7197265625
2022-12-30,6473.759765625,13923.58984375
2023-01-02,6594.56982421875,14069.259765625
2023-01-03,6623.89013671875,14181.669921875
2023-01-04,6776.43017578125,14490.7802734375
2023-01-05,6761.5,14436.3095703125
2023-01-06,6860.9501953125,14610.01953125
2023-01-09,6907.35986328125,14792.830078125
2023-01-10,6869.14013671875,14774.599609375
2023-01-11,6924.18994140625,14947.91015625
2023-01-12,6975.68017578125,15058.2998046875
2023-01-13,7023.5,15086.51953125
2023-01-16,7043.31005859375,15134.0400390625
2023-01-17,7077.16015625,15187.0703125
2023-01-18,7083.39013671875,15181.7998046875
2023-01-19,6951.8701171875,14920.3603515625
2023-01-20,6995.990234375,15033.5595703125
2023-01-23,7032.02001953125,15102.9501953125
2023-01-24,7050.47998046875,15093.1103515625
2023-01-25,7043.8798828125,15081.6396484375
2023-01-26,7095.990234375,15132.849609375
2023-01-27,7097.2099609375,15150.0302734375
2023-01-30,7082.009765625,15126.080078125
2023-01-31,7082.419921875,15128.26953125
2023-02-01,7077.10986328125,15180.740234375
2023-02-02,7166.27001953125,15509.1904296875
2023-02-03,7233.93994140625,15476.4296875
2023-02-06,7137.10009765625,15345.91015625
2023-02-07,7132.35009765625,15320.8798828125
2023-02-08,7119.830078125,15412.0498046875
2023-02-09,7188.35986328125,15523.419921875
2023-02-10,7129.72998046875,15307.98046875
2023-02-13,7208.58984375,15397.33984375
2023-02-14,7213.81005859375,15380.5595703125
2023-02-15,7300.85986328125,15506.33984375
2023-02-16,7366.16015625,15533.6396484375
2023-02-17,7347.72021484375,15482.0
2023-02-20,7335.60986328125,15477.5498046875
2023-02-21,7308.64990234375,15397.6201171875
2023-02-22,7299.259765625,15399.8896484375
2023-02-23,7317.43017578125,15475.6904296875
2023-02-24,7187.27001953125,15209.740234375
2023-02-27,7295.5498046875,15381.4296875
2023-02-28,7267.93017578125,15365.1396484375
2023-03-01,7234.25,15305.01953125
2023-03-02,7284.22021484375,15327.6396484375
2023-03-03,7348.1201171875,15578.3896484375
2023-03-06,7373.2099609375,15653.580078125
2023-03-07,7339.27001953125,15559.5302734375
2023-03-08,7324.759765625,15631.8701171875
2023-03-09,7315.8798828125,15633.2099609375
2023-03-10,7220.669921875,15427.9697265625
2023-03-13,7011.5,14959.4697265625
2023-03-14,7141.56982421875,15232.830078125
2023-03-15,6885.7099609375,14735.259765625
2023-03-16,7025.72021484375,14967.099609375
2023-03-17,6925.39990234375,14768.2001953125
2023-03-20,7013.14013671875,14933.3798828125
2023-03-21,7112.91015625,15195.33984375
2023-03-22,7131.1201171875,15216.1904296875
2023-03-23,7139.25,15210.3896484375
2023-03-24,7015.10009765625,14957.23046875
2023-03-27,7078.27001953125,15127.6796875
2023-03-28,7088.33984375,15142.01953125
2023-03-29,7186.990234375,15328.7802734375
2023-03-30,7263.3701171875,15522.400390625
2023-03-31,7322.39013671875,15628.83984375
2023-04-03,7345.9599609375,15580.919921875
2023-04-04,7344.9599609375,15603.4697265625
2023-04-05,7316.2998046875,15520.169921875
2023-04-06,7324.75,15597.8896484375
2023-04-07,7324.75,15597.8896484375
2023-04-10,7324.75,15597.8896484375
2023-04-11,7390.27978515625,15655.169921875
2023-04-12,7396.93994140625,15703.599609375
2023-04-13,7480.830078125,15729.4599609375
2023-04-14,7519.60986328125,15807.5
2023-04-17,7498.18017578125,15789.5302734375
2023-04-18,7533.6298828125,15882.669921875
2023-04-19,7549.43994140625,15895.2001953125
2023-04-20,7538.7099609375,15795.9697265625
2023-04-21,7577.0,15881.66015625
2023-04-24,7573.85986328125,15863.9501953125
2023-04-25,7531.60986328125,15872.1298828125
2023-04-26,7466.66015625,15795.73046875
2023-04-27,7483.83984375,15800.4501953125
2023-04-28,7491.5,15922.3798828125
2023-05-01,7491.5,15922.3798828125
2023-05-02,7383.2001953125,15726.9404296875
2023-05-03,7403.830078125,15815.0595703125
2023-05-04,7340.77001953125,15734.240234375
2023-05-05,7432.93017578125,15961.01953125
2023-05-08,7440.91015625,15952.830078125
2023-05-09,7397.169921875,15955.48046875
2023-05-10,7361.2001953125,15896.23046875
2023-05-11,7381.77978515625,15834.91015625
2023-05-12,7414.85009765625,15913.8203125
2023-05-15,7418.2099609375,15917.240234375
2023-05-16,7406.009765625,15897.9296875
2023-05-17,7399.43994140625,15951.2998046875
2023-05-18,7446.89013671875,16163.3603515625
2023-05-19,7491.9599609375,16275.3798828125
2023-05-22,7478.16015625,16223.990234375
2023-05-23,7378.7099609375,16152.8603515625
2023-05-24,7253.4599609375,15842.1298828125
2023-05-25,7229.27001953125,15793.7998046875
2023-05-26,7319.18017578125,15983.9697265625
2023-05-29,7303.81005859375,15952.73046875
2023-05-30,7209.75,15908.91015625
2023-05-31,7098.7001953125,15664.01953125
2023-06-01,7137.43017578125,15853.66015625
2023-06-02,7270.68994140625,16051.23046875
2023-06-05,7200.91015625,15963.8896484375
2023-06-06,7209.0,15992.4404296875
2023-06-07,7202.7900390625,15960.5595703125
2023-06-08,7222.14990234375,15989.9599609375
2023-06-09,7213.14013671875,15949.83984375
2023-06-12,7250.35009765625,16097.8701171875
2023-06-13,7290.7998046875,16230.6796875
2023-06-14,7328.52978515625,16310.7900390625
2023-06-15,7290.91015625,16290.1201171875
2023-06-16,7388.64990234375,16357.6298828125
2023-06-19,7314.0498046875,16201.2001953125
2023-06-20,7294.169921875,16111.3203125
2023-06-21,7260.97021484375,16023.1298828125
2023-06-22,7203.27978515625,15988.16015625
2023-06-23,7163.419921875,15829.9404296875
2023-06-26,7184.35009765625,15813.0595703125
2023-06-27,7215.580078125,15846.8603515625
2023-06-28,7286.31982421875,15949.0
2023-06-29,7312.72998046875,15946.7197265625
2023-06-30,7400.06005859375,16147.900390625
2023-07-03,7386.7001953125,16081.0400390625
2023-07-04,7369.93017578125,16039.169921875
2023-07-05,7310.81005859375,15937.580078125
2023-07-06,7082.2900390625,15528.5400390625
2023-07-07,7111.8798828125,15603.400390625
2023-07-10,7143.68994140625,15673.16015625
2023-07-11,7220.009765625,15790.33984375
2023-07-12,7333.009765625,16023.0
2023-07-13,7369.7998046875,16141.0302734375
2023-07-14,7374.5400390625,16105.0703125
2023-07-17,7291.66015625,16068.650390625
2023-07-18,7319.18017578125,16125.490234375
2023-07-19,7326.93994140625,16108.9296875
2023-07-20,7384.91015625,16204.2197265625
2023-07-21,7432.77001953125,16177.2197265625
2023-07-24,7427.31005859375,16190.9501953125
